Country,Deaths,Confirmed,Recovered,"Population density (per km2, 2017)",GDP per capita (current US$),Unemployment (% of labour force),Urban population (% of total population),Refugees and others of concern to UNHCR (in thousands),Health: Physicians (per 1000 pop.),Health: Total expenditure (% of GDP),tuberculosis(per/100k) 2018,obesityRate,totalSmokingRate,maleSmokingRate,femaleSmokingRate,Life expectancy(W),Life expectancy(M),deathrate(per/1000),Age 0-14(%),Age 60+(%),averageTemperature,Min temperature,Max Temperature,touristArrivals,population2019(thousand)
Cyprus,0.0,6.0,0.0,127.7,21941.9,10.3,66.9,16.2,2.5,7.4,5.4,0.218,31.0,52.7,19.2,82.2,77.7,7.075,16.8,18.5,18.45,7.03,29.79,3187000,1198.575
Czech Republic,0.0,91.0,0.0,137.5,17561.7,3.9,73.0,6.0,3.7,7.4,5.4,0.26,34.3,38.3,30.5,81.2,75.1,10.571,15.4,25.6,7.55,-11.62,22.09,12808000,10689.208999999999
Denmark,0.0,444.0,1.0,135.1,53149.3,6.0,87.7,48.2,3.6,10.8,5.4,0.19699999999999998,17.0,17.6,16.4,82.2,78.1,9.783,16.5,25.3,7.5,-36.83,0.7,10781000,5771.876
Dominican Republic,0.0,5.0,0.0,222.8,6373.6,14.4,79.0,1.3,1.5,4.4,45,0.276,14.1,18.8,9.4,76.4,70.2,6.1770000000000005,29.3,10.2,24.55,21.86,28.58,5959000,10738.958
Ecuador,0.0,17.0,0.0,66.9,6205.1,5.8,63.7,133.1,1.7,9.2,44,0.19899999999999998,8.65,14.0,3.3,78.4,72.8,5.121,28.4,10.5,21.85,19.77,24.34,1418000,17373.662
Egypt,1.0,60.0,27.0,98.0,3452.3,11.5,43.1,256.5,0.8,5.6,12,0.32,25.1,49.9,0.3,73.0,68.7,5.808,33.5,7.9,22.1,10.95,32.59,5258000,100388.073
Estonia,0.0,16.0,0.0,30.9,17112.0,7.2,67.5,84.2,3.3,6.4,13,0.212,33.05,41.2,24.9,81.2,71.8,11.727,16.4,25.9,5.1,-16.55,22.33,3131000,1325.648
Finland,0.0,59.0,1.0,18.2,42148.1,8.9,84.2,32.6,3.0,9.7,4.7,0.222,20.85,23.2,18.5,83.7,77.7,9.795,16.4,27.8,1.7,-21.2,19.13,2789000,5532.156
France,48.0,2284.0,12.0,118.7,36304.2,9.8,79.5,356.2,3.2,11.5,8.9,0.21600000000000003,27.7,29.8,25.6,85.0,78.8,9.317,18.1,25.7,10.7,1.6,23.66,82700000,65129.727999999996
Georgia,0.0,24.0,0.0,56.3,3491.4,11.4,53.6,274.1,4.8,7.4,80,0.217,31.7,57.7,5.7,77.0,68.5,12.815999999999999,19.2,20.8,5.8,-8.59,22.97,2721000,3996.765
Germany,3.0,1908.0,25.0,235.6,41686.2,4.2,75.3,1052.1,4.1,11.3,7.3,0.223,30.35,32.4,28.3,82.9,77.9,11.275,13.1,28.0,8.5,-9.3,22.34,35595000,83517.045
Greece,1.0,99.0,0.0,86.6,17788.0,23.0,78.0,94.7,6.3,8.1,4.5,0.249,42.65,52.6,32.7,83.3,78.0,10.924000000000001,14.2,26.5,15.4,1.22,28.43,24799000,10473.455
Honduras,0.0,2.0,0.0,82.8,2521.9,5.6,54.7,176.2,NaN,8.7,37,0.214,17.7,33.3,2.1,75.4,70.4,4.453,31.6,7.0,23.5,19.98,28.31,908000,9746.117
Hungary,0.0,13.0,0.0,107.4,12350.6,4.5,71.2,14.4,3.3,7.4,6.4,0.264,28.4,32.0,24.8,78.8,71.7,12.613,14.3,26.0,9.75,-9.82,24.93,15256000,9684.679
Iceland,0.0,85.0,1.0,3.3,50936.0,3.6,94.1,0.5,3.8,8.9,2.7,0.21899999999999997,16.05,17.0,15.1,83.8,80.6,6.736000000000001,20.1,20.1,1.75,-10.01,11.89,1792000,339.031
India,1.0,62.0,4.0,450.4,1614.2,3.4,32.7,211.1,0.7,4.7,199,0.039,11.15,20.4,1.9,69.1,66.2,7.273,27.8,9.4,23.65,14.39,31.33,14570000,1366417.754
Indonesia,1.0,34.0,2.0,145.7,3346.5,5.8,53.7,13.8,0.2,2.8,316,0.069,39.9,76.2,3.6,70.7,66.6,6.51,27.4,8.6,25.85,23.73,27.48,11072000,270625.568
Iran,354.0,9000.0,2959.0,49.8,5038.1,11.3,73.4,978.3,1.5,7.5,14,0.258,11.1,21.5,0.7,76.2,74.0,4.8660000000000005,23.7,8.8,17.25,-0.02,31.65,4942000,82913.906
Iraq,7.0,71.0,15.0,88.1,4509.0,16.1,69.5,4736.2,0.9,5.5,42,0.304,19.5,36.0,4.0,71.4,67.0,4.773,40.4,5.0,21.4,3.84,37.4,1518000,39309.782999999996
Ireland,1.0,43.0,0.0,69.1,60513.6,7.6,63.2,10.5,2.8,7.8,7,0.253,22.15,22.4,21.9,83.0,78.7,6.138999999999999,21.6,19.1,9.3,0.27,18.09,10100000,4882.495
Israel,0.0,109.0,4.0,384.5,37129.4,5.9,92.1,44.7,3.6,7.8,4,0.261,30.25,41.2,19.3,83.7,80.0,5.327999999999999,27.9,16.1,19.2,7.17,30.46,2900000,8519.377
Italy,827.0,12462.0,1045.0,201.8,30462.4,11.4,69.0,216.7,3.9,9.2,7,0.19899999999999998,24.0,28.3,19.7,84.7,79.9,10.565999999999999,13.5,29.4,13.45,-1.22,26.12,52372000,60550.075
Jamaica,0.0,1.0,0.0,266.9,5105.8,13.1,54.8,0,NaN,5.4,2.9,0.247,17.9,29.9,5.9,77.9,73.1,7.587999999999999,22.7,13.6,24.95,22.07,28.82,2182000,2948.2790000000005
Japan,15.0,639.0,118.0,349.7,34628.7,3.0,93.5,19.4,2.3,10.2,14,0.043,22.15,33.7,10.6,86.4,80.0,10.645999999999999,12.9,33.4,11.15,-2.26,26.64,24039000,126860.30099999999
