0,1,2,3,4,5,6,7,8,9,10,11
Australia,-0.3375524250364452,0.8407514202141727,0.2823724832010076,0.4560460466248588,-0.4035876332448488,0.9193888711516696,-1.0877575085316558,0.6659030780511221,0.8401178464183898,-0.6794108302854571,1.1227222740306773
China,-0.6485763397041727,1.3294720844806036,-0.2509977628453391,-0.4237442322028386,0.005037113005245603,-1.3489442062409929,0.6381510716719042,1.138569145978853,0.9095603264302821,-0.32641485508979434,-1.1227222740306775
France,-0.5708203610372409,-1.3446598520715674,-0.2509977628453391,-0.4237442322028386,-0.38631121934089263,0.18317550392773563,1.1664904329587085,0.6895363814475074,0.40031547300973336,0.8093593624411657,-0.5499047872803321
Hong Kong,-0.5397179695704681,0.1906607252937307,0.8314300894251877,1.0169861572868135,0.050106018841653076,1.008928334732959,-1.8626552384189687,0.31140352710532404,0.3077254996605448,-0.6274834098341392,0.8706825798605253
Iran,-0.2908988378362861,-0.8052228924567327,-2.227605145252388,-1.4924827588324574,-0.34800264937994624,0.6010263339737523,-1.756987366161608,-2.5718594872538345,-2.307941247454091,-1.6494592378654016,0.4506164229102718
Iraq,0.5644169274999647,0.1030598515101255,-1.207926733693196,-0.10489406403709595,-0.13768108881004473,1.0586724811670085,-0.2776371545585562,-1.2720278004525747,-0.5950267404940645,-1.700834238950217,1.0845344415806542
Italy,-0.2753476421028997,0.9652368724329802,0.439246084979345,-0.016324572879945265,-0.40058303952242164,0.014045406051966492,0.51487188737165,0.5004699542764157,0.7938228597437939,1.4993311512038932,-0.12983863033007856
Japan,0.579968123233351,-0.09980532988348773,0.6745564876468507,0.39699971918675797,-0.34800264937994624,-1.5379719626903816,0.1890626145781206,0.7368029882402811,0.7706753664064976,1.543524700524164,-0.4811666888702904
Netherlands,-0.3220012293030589,0.8914677155625756,0.2823724832010076,0.8988935024106125,-0.41335256284273714,0.06378955248601616,0.6997906638220317,0.35867013389809443,0.6549378997200094,0.5303875823569567,-0.7713942154904656
Philippines,-0.368654816503218,-0.4917039757575128,-0.5804323265798472,-0.4296488649466485,3.708198875896726,-1.329046547667373,0.8230698481222858,-0.13762923742602154,-0.8496491672043371,-1.0782576129009014,1.7642778591910648
San Marino,-0.16648927196919516,1.0620588908253867,2.6354765098760664,-0.5182183561037995,-0.45316342966489703,0.0239942353387767,-1.0349235724029757,1.138569145978853,1.1873302464778543,0.5237585499589158,-0.374240758010226
South Korea,1.6530006288370112,0.3889153343829433,0.596119686757682,0.33795339174865774,0.04259453453558516,-1.4981766455431418,1.0432112486584542,0.878602808618599,0.701232886394602,-0.961697126568687,-0.4277037234402582
Spain,-0.38420601223660433,-2.432754915910037,-0.2509977628453391,-1.2858206127991056,-0.38255547718785865,0.40204974823755385,1.4306601136021104,-0.8466283393176177,-1.2431565539383975,0.6977706504074819,-0.15275132980009218
Switzerland,-1.0995610159723777,-0.9573717785019427,-0.2509977628453391,-1.1086816304848044,-0.4050899301060624,-0.02574991109527296,0.3915927030713959,-0.7520951257320703,-1.3357465272875895,0.10999644444787998,-1.3442117022408113
Thailand,3.0526082448417853,-0.6484634341071227,-0.18824832213400414,-0.4001257012275984,0.6960936691634936,-0.9708886933422157,0.13622867844944067,-1.0356947664887093,-0.7802066871924449,-0.05849146233565234,1.833015957601106
United Kingdom,-0.4153084037033771,0.5272325035149521,-0.18824832213400414,0.36747655546770785,-0.39307155521635373,0.8000029197099509,-0.3392767467086836,0.2877702237089355,0.5623479263708175,0.8541053311279396,-0.8935952793305394
United States,-0.43085959943676344,0.48112678047094914,-0.34512192391234114,2.7293296529917277,-0.4306289767466933,1.6357045798019847,-0.6738916755236594,-0.09036263063324779,-0.01633940706162345,0.5138150013618545,-0.87832014635053
