0,1,2,3,4,5,6,7,8,9,10
Afghanistan,0.1747745985539774,-2.027174209651972,0.4222979686430333,1.315745802343351,-1.7041428816702642,-0.4841334594991608,-2.2775296732269177,-1.9527571867544053,-0.4999246423743906,-0.25444907000605166
Algeria,0.6867127927435804,0.05924786034547927,0.039139811727890425,0.09685587687336754,0.6008297621720959,-0.8015660488321117,-0.260289105511647,0.16832132523976043,-1.0557941446414922,0.920137336384379
Andorra,-0.5017151580537121,0.7420769014355538,0.3839821529515191,-0.5735335821351234,0.41137995582888864,1.0123344616418928,-0.1827029298302905,-0.343328147882496,-0.16473866106722188,-0.8476745277789964
Argentina,-0.2091790470882248,1.059782080276075,-0.8804397648684534,-0.32975559704112667,0.6955546653437005,0.043031376357346544,0.25177965398530583,-0.13931601619450662,-0.0941731913183444,0.006570131414044157
Armenia,1.6374551533814146,-0.3201016069267846,-0.9953872119429963,-0.2891259328587939,-0.15696946320073465,0.377469282975991,-0.1827029298302905,-0.39837904056020773,0.6547527847900262,-0.9010648189785614
Australia,-0.3920141164416544,0.9459772400943961,0.8820877569412056,-0.5369668843710239,0.7692295900327252,-0.982956099879512,0.9655724702537876,1.155999105633992,-0.4237006208060272,0.8192890085629783
Austria,-0.26402956789425364,-0.16361995167697588,1.571772439388463,-0.5318881763482323,-0.16749445244202368,1.3127617336891495,0.8259173540273449,0.8645532032225803,0.6660698884289974,-0.9959808922222326
Azerbaijan,-0.44686463724768327,-0.7041929425399518,-0.42064997657028147,0.03591138059986836,-0.18854443092460263,-0.013653014594966095,-0.5551165731008029,-0.7222078210173324,-0.3617894067810689,-0.3315683795165345
Bahrain,-1.159921407726059,0.9175260300489759,-0.8038081334854247,-0.4922742537704578,0.8534295039630397,0.524848699452004,-0.10511675414893391,0.41119291058260393,-1.8236929121446082,1.4718370121132174
Belarus,-1.3061894632088027,0.34375996079967713,-0.5355974236448243,-0.2891259328587939,0.29560507417470605,0.5475224558329289,-0.07408228387639085,-1.0622280404973123,1.5517996761731636,-1.0197099105331504
Belgium,0.11992407774794869,1.3490360490711766,1.3418775452393772,-0.5125890858616242,0.043005332383762536,-0.03632677097589107,0.7483311783459883,0.7997874471311545,0.6304542975651767,-0.6163165992475479
Bhutan,-0.9588028314372864,-1.4628918770844794,-1.340229553166625,0.9094491605200231,-1.6094179784986602,-1.8332219641642014,-1.439598975868266,-0.7222078210173324,-0.5425302090152224,-0.8714035460899141
Bosnia and Herzegovina,3.246403763691595,-1.4059894569936402,0.9587193883242339,-0.3500704291322931,-0.39904421575038884,1.7038840312601071,0.0966073026225927,0.10355556914833688,0.9669717028298715,-0.5807230717811713
Brazil,0.8695478620970101,0.770528111480974,0.46061378433454814,-0.14692210822062918,0.043005332383762536,-0.9376085871176619,0.03453836207750878,-0.3336132844687819,-0.463310483542426,1.2108178106931218
Cambodia,-1.3427564770794886,-2.31168631010617,-0.5355974236448243,2.463533815494252,-1.872542709530893,-0.013653014594966095,-1.3309783299143685,-1.2241424307258748,-0.6244127824030707,1.4303112300691116
Cameroon,-0.5565656788597412,-0.7136766792217585,-1.1486504747090538,1.2852735542066014,-1.0831685164341942,-0.13835867469005367,-3.1775293111306535,-2.908052089102923,0.4314064159150412,1.169292028649016
Canada,-0.09947800547616707,0.5855952461857451,1.2652459138563488,-0.5471243004166071,0.8113295469978824,-0.9772876607842809,0.8724690594361584,1.0750419105197109,-0.045576216868646005,-2.3841284634109234
Chile,-0.15432852628219593,0.9507191084352992,0.2690347058769762,-0.42117234145137544,0.6639796976198324,1.6358627621173316,0.4845381810293755,0.5083415447197427,-0.5591730084842972,-0.7468261999575959
,-0.7576842551485137,1.4486152842301454,-0.5739132393363389,0.015596548508701973,-1.6304679569812388,0.1280579627858155,1.2759171729792138,1.2045734227025604,-0.2110056435912502,-0.9247938372894792
Colombia,-0.8125347759545425,1.4486152842301454,-0.5739132393363389,-0.26881110076762754,0.06405531086634118,-1.4137574711170882,1.2448827027066707,1.1721905446568475,-0.7618823060176295,1.1574275194935568
Costa Rica,-0.5565656788597412,-0.6567742591309188,-0.6122290550278531,-0.502431669816041,0.42190494507017795,-1.15300927273645,-0.1516684595577474,0.18451276426261806,-0.9229846048782743,1.1930210469599336
Croatia,0.5221612303254938,0.3295343557769674,0.039139811727890425,-0.5186835354889742,0.28508008493341674,1.4601411501651629,-0.12063398928520434,-0.4631447966516313,1.7558403976640216,-0.4561457256488528
Czech Republic,0.1747745985539774,0.3485018291405802,0.8437719412496913,-0.5491557836257237,0.453479912794046,1.216398269070218,0.5466071215744617,0.5892987398340239,0.8907476812615082,-0.8536067823567258
Denmark,0.7415633135496091,-0.49555073554020673,0.2690347058769762,-0.5491557836257237,-0.20959440940718127,-0.744881657879799,0.344883064802935,0.08736413012547926,0.6284571616288877,-0.8595390369344553
Dominican Republic,-0.6845502274071419,0.16831083218625498,0.11577144311091914,-0.14692210822062918,0.6218797406546752,-1.0736511254032124,0.4690209458931051,0.33023571546832275,-0.5718215360807939,1.1633597740712864
Ecuador,-0.3005965817649396,0.86536547829904,1.418509176622406,-0.15707952426621236,-0.18854443092460263,-1.69151098678342,0.6241932972558182,0.8159788861540098,-0.9233174608676559,0.8430180268738964
Egypt,1.2352180008038693,0.45282293264045287,-1.0337030276345105,-0.4821168377248746,1.084979267271405,0.17340547554766586,-0.2758063406479175,-0.4631447966516313,-0.6946453961625669,0.8726792997625437
