0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Afghanistan,0.9313501048547056,3.3766108696882933,0.8773111929246814,25.302899385295547,-0.22305615125043296,2.3768909989828484,8.348190767250506,8.010447567687855,0.633190408280798,5.605715986801785,0.3234123456419351,1.4717392241549458,-0.8451791248448346,3.623838891768153
Algeria,1.3096224883648737,9.320891181990937,0.7422139130996215,9.091225806288335,-0.19346984696874478,1.9986186154726802,10.104455404976287,9.780221933396142,0.4075779509729476,3.7278637972334496,1.0394279287147536,2.8092022944230406,1.0569905750920114,4.610049034491092
Andorra,0.4409469790897374,11.266292011471803,0.8638014649421755,0.17480533783436902,-0.19590159800559587,4.160175092673642,10.172004044888816,9.345208692359448,0.7692333690646336,1.714914327840054,2.3363618150353305,0.7962528250296455,-0.35477599907986657,3.0537283709063994
Argentina,0.6476458172220794,12.171443786299706,0.4179804415194772,3.417140053635811,-0.19225397145031922,3.005093350169378,10.550276428398984,9.523537101728529,0.7978739923875462,3.133435766003185,1.850011607665114,1.7689532397700782,0.4179804415194772,2.915929145484838
Armenia,2.012128343455186,8.240112943390457,0.3774512575719592,3.9575291729360518,-0.20319685111614913,3.403630325653305,10.172004044888816,9.30738145400843,1.1018428719939313,2.4714590948603905,2.052657527402704,0.7354590491083685,-1.619286538242429,3.1861237051349582
Australia,0.5125485373970193,11.847210314719563,1.0394279287147536,0.6611555452045853,-0.19130829049154383,1.782462967752584,11.171723915594262,10.60431534032901,0.6641276853607369,2.3363618150353305,2.6065563746854505,2.6943696065717395,1.4622824145671915,3.803518273935483
Austria,0.6071166332745613,8.685933966813156,1.2826030323998616,0.7287041851171154,-0.20333194839597415,4.518182884210051,11.050136363751706,10.361140236643902,1.1064361795079836,1.674385143892536,3.1604552219681974,0.6273812252483203,-1.7273643621024772,2.482266877246395
Azerbaijan,0.4720193534495013,7.145824976807471,0.5800971773095493,8.280642127337975,-0.2036021429556243,2.937544710256848,9.847770573308672,9.03718689435831,0.6892557794081978,2.917280118283089,1.1339960245922955,1.3839259922686566,-1.0397192077929212,3.373908924091792
Bahrain,-0.054860037868233125,11.766151946824525,0.44499989748448926,1.2555835764348497,-0.19022751225294335,3.5792567894258833,10.239552684801346,9.982867853133731,0.09590852641653393,2.4309299109128726,0.3909609855544652,3.43740464560957,1.4122964210319193,4.861329974965704
Belarus,-0.1629378617282812,10.1314748609413,0.5395679933620313,3.9575291729360518,-0.19738766808367156,3.606276245390895,10.266572140766359,8.753482606725685,1.4659300411224683,2.025638071437692,2.647085558632969,0.6003617692833084,-2.463644537149055,2.8510824511688093
Belgium,0.8908209209071877,12.995537193232574,1.2015446645048256,0.9853890167847297,-0.20063000279947296,2.910525254291836,10.982587723839178,10.307101324713877,1.091980770566702,2.0796769833677167,3.0929065820556674,1.0596925206885128,-1.0518779629771766,2.8551353695635613
Bhutan,0.09374696993933296,4.984268499606509,0.2558637057294051,19.89900819229314,-0.2218402757320074,0.7692333690646336,9.07771607830583,9.03718689435831,0.6158979564631902,3.349591413723281,0.7557236410821274,0.7692333690646336,-0.09809116741225236,2.3782419717810988
Bosnia and Herzegovina,3.200984405915715,5.146385235396581,1.0664473846797657,3.146945493985691,-0.20630408855212548,4.984268499606509,10.415179148573925,9.726183021466118,1.2285641204698379,1.674385143892536,2.930789846265595,1.1002217046360305,-1.1126717388984537,3.0172521053536334
Brazil,1.444719768189934,11.347350379366839,0.8908209209071877,5.848891090486894,-0.20063000279947296,1.8365018796826083,10.361140236643902,9.361420365938455,0.6480511090615545,2.7011244705629927,1.4717392241549458,3.140190629994438,2.714634198545499,3.43740464560957
Cambodia,-0.18995731769329322,2.5660271907379326,0.5395679933620313,40.56889200552734,-0.22521770772763391,2.937544710256848,9.172284174183371,8.618385326900626,0.5826640256262255,3.9980583568835697,0.7287041851171154,3.390120597670799,2.7281439265280047,3.8805237234357675
Cameroon,0.3909609855544652,7.118805520842458,0.3234123456419351,24.897607545820364,-0.21508541174075438,2.788937702449282,7.564626544265157,7.21337361672,1.0111925972313163,5.538167346889256,0.4179804415194772,3.0929065820556674,2.703826416159494,3.5144100951098545
Canada,0.7287041851171154,10.820470988049104,1.1745252085398137,0.5260582653795253,-0.1907679013722436,1.789217831743837,11.090665547699224,10.536766700416479,0.8175981952420048,1.9310699755601501,2.944299574248101,-0.9532569487048826,-4.113182323813038,1.7689532397700782
Chile,0.6881750011695974,11.860720042702068,0.8232722809946574,2.2012645352102704,-0.19265926328979444,4.9032101317114725,10.752922348136574,10.063926221028769,0.6091430924719372,2.511988278807909,1.9310699755601501,0.9110855128809465,0.20317576659763165,1.8621703628493695
Colombia,0.20182479379938106,13.279241480865199,0.5260582653795253,4.227723732586171,-0.20035980823982283,1.2690933044173556,11.41489901927937,10.617825068311515,0.5268688490584756,1.566307320032488,1.9445797035426564,3.079396854073161,2.8659431519495664,3.445510482399074
Costa Rica,0.3909609855544652,7.280922256632531,0.5125485373970193,1.1204862966097897,-0.19576650072577081,1.579817048014994,10.199023500853828,9.793731661378649,0.4614817656231467,2.160735351262752,1.958089431525162,3.119926038020679,2.87539996153732,3.668420994110423
Croatia,1.1880349365223197,10.090945676993782,0.7422139130996215,0.9043306488896936,-0.19752276536349658,4.69380934798263,10.22604295681884,9.253342542078409,1.5487446736552302,2.944299574248101,1.3366419443298858,1.2420738484523437,-1.0154016974244102,3.215845106696472
