Country	Last	Date	Previous	Max	Min	Scale
Lebanon	8.19	Dec/15	13.44	29.44	4.55	celsius
Lesotho	9.94	Aug/13	8.82	21.52	4.49	celsius
Liberia	24.71	Aug/13	24.74	28.45	22.36	celsius
Libya	29.87	Aug/13	30.55	33.15	9.31	celsius
Liechtenstein	14.83	Aug/13	16.66	18.44	-12.01	celsius
Lithuania	17.87	Aug/13	18.37	21.79	-15.18	celsius
Luxembourg	18.46	Aug/13	20.42	23.14	-7.17	celsius
Macau	28.50	Aug/13	28.38	29.77	10.76	celsius
Macedonia	23.59	Aug/13	22.33	24.69	-6.2	celsius
Madagascar	20.40	Aug/13	19.53	26.67	18.19	celsius
Malawi	25.56	Dec/15	25.97	26.17	15.83	celsius
Malaysia	25.98	Dec/15	25.79	28.26	23.53	celsius
Maldives	28.12	Dec/15	27.76	29.38	26.24	celsius
Mali	21.09	Dec/15	26.52	35.37	19.06	celsius
Malta	14.12	Dec/15	17.85	29.08	8.4	celsius
Marshall Islands	27.58	Dec/15	28.29	29.08	26.57	celsius
Mauritania	21.61	Dec/15	26.18	35.16	17.27	celsius
Mauritius	25.95	Dec/15	24.31	27.74	19.24	celsius
Mayotte	28.32	Dec/15	27.75	29.06	23.52	celsius
Mexico	16.74	Dec/15	19.45	26.93	12.06	celsius
Micronesia	27.59	Dec/15	27.85	28.34	25.82	celsius
Moldova	2.44	Dec/15	6.72	25.23	-12.78	celsius
Monaco	5.92	Dec/15	7.76	23.04	-5.36	celsius
Mongolia	-15.90	Dec/15	-10.41	20.72	-27.44	celsius
Montenegro	1.80	Dec/15	6.33	24.23	-6.52	celsius
Morocco	12.55	Dec/15	15.06	28.91	7.12	celsius
Mozambique	27.50	Dec/15	27.16	27.95	18.06	celsius
Myanmar	19.32	Dec/15	22.17	27.37	16.4	celsius
Namibia	25.25	Dec/15	24.21	26.65	13.02	celsius
Nepal	21.19	Aug/13	21.37	23.44	2.68	celsius
Netherlands	18.32	Aug/13	18.98	21.96	-5.42	celsius
New Caledonia	20.44	Aug/13	21.18	27.62	18.69	celsius
New Zealand	8.20	Aug/13	6.75	17.7	3.34	celsius
Nicaragua	27.66	Sep/13	26.29	29.25	22.22	celsius
Niger	29.70	Aug/13	32.03	35	16.25	celsius
Nigeria	25.14	Aug/13	26.62	31.83	22.3	celsius
North Korea	-6.81	Dec/15	-0.33	23.95	-14.39	celsius
Northern Mariana Islands	27.10	Dec/15	28	28.86	24.76	celsius
Norway	-2.91	Dec/15	-0.87	15.31	-15.51	celsius
Oman	22.17	Dec/15	25.42	35.1	17.56	celsius
Pakistan	10.83	Dec/15	16.09	31.23	5.95	celsius
Palau	28.45	Dec/15	28.25	29.05	25.05	celsius
Palestine	12.65	Dec/15	18.8	29.54	8.2	celsius
Panama	25.61	Dec/15	25.55	29.05	24.08	celsius
Papua New Guinea	25.56	Dec/15	25.6	25.93	21.78	celsius
Paraguay	27.93	Dec/15	26.24	29.5	14.01	celsius
Peru	20.78	Dec/15	21.07	22.72	17.32	celsius
Philippines	25.79	Dec/15	26.25	29.16	22.98	celsius
Poland	4.28	Dec/15	5.51	22.51	-13.11	celsius
Portugal	10.55	Dec/15	13.25	25.79	4.25	celsius
Puerto Rico	25.12	Dec/15	25.75	28.5	21.93	celsius
