"name","ethnicFractionalization","linguisticFractionalization","religiousFractionalization","pop2019"
"Dominican Republic","0.4294","0.0395","0.3118","10738.9580"
"Palau","0.4312","0.3157","0.7147","18.0080"
"Oman","0.4373","0.3567","0.4322","4974.9860"
"Mauritius","0.4634","0.4547","0.6385","1269.6680"
"Ukraine","0.4737","0.4741","0.6157","43993.6380"
"Morocco","0.4841","0.4683","0.0035","36471.7690"
"Nicaragua","0.4844","0.0473","0.4290","6545.5020"
"United States","0.4901","0.5647","0.8241","329064.9170"
"Georgia","0.4923","0.4749","0.6543","3996.7650"
"Venezuela","0.4966","0.0686","0.1350","28515.8290"
"Bahrain","0.5021","0.4344","0.5528","1641.1720"
"Estonia","0.5062","0.4944","0.4985","1325.6480"
"Tajikistan","0.5107","0.5473","0.3386","9321.0180"
"Guatemala","0.5122","0.4586","0.3753","17581.4720"
"Laos","0.5139","0.6382","0.5453","7169.4550"
"Luxembourg","0.5302","0.6440","0.0911","615.7290"
"Switzerland","0.5314","0.5441","0.6083","8591.3650"
"Syria","0.5399","0.1817","0.4310","17070.1350"
"Brazil","0.5408","0.0468","0.6054","211049.5270"
"Brunei","0.5416","0.3438","0.4404","433.2850"
"Mexico","0.5418","0.1511","0.1796","127575.5290"
"Fiji","0.5479","0.5479","0.5682","889.9530"
"Panama","0.5528","0.3873","0.3338","4246.4390"
"Moldova","0.5535","0.5533","0.5603","4043.2630"
"Belgium","0.5554","0.5409","0.2127","11539.3280"
"Liechtenstein","0.5726","0.2246","0.3343","38.0190"
"Serbia","0.5736",0,0,"8772.2350"
"Nauru","0.5832","0.6161","0.6194","10.7560"
"Latvia","0.5867","0.5795","0.5556","1906.7430"
"Malaysia","0.5880","0.5970","0.6657","31949.7770"
"Cuba","0.5908",0,"0.5059","11333.4830"
"Jordan","0.5926","0.0396","0.0659","10101.6940"
"Colombia","0.6014","0.0193","0.1478","50339.4430"
"Bhutan","0.6050","0.6056","0.3787","763.0920"
"Mauritania","0.6150","0.3260","0.0149","4525.6960"
"Kazakhstan","0.6171","0.6621","0.5898","18551.4270"
"Guyana","0.6195","0.0688","0.7876","782.7660"
"United Arab Emirates","0.6252","0.4874","0.3310","9770.5290"
"Bosnia and Herzegovina","0.6300","0.6751","0.6851",3301
"Namibia","0.6329","0.7005","0.6626","2494.5300"
"Thailand","0.6338","0.6344","0.0994","69625.5820"
"Trinidad and Tobago","0.6475","0.1251","0.7936","1394.9730"
"Niger","0.6518","0.6519","0.2013","23310.7150"
"Eritrea","0.6524","0.6530","0.4253","3497.1170"
"Ecuador","0.6550","0.1308","0.1417","17373.6620"
"Peru","0.6566","0.3358","0.1988","32510.4530"
"Kuwait","0.6604","0.3444","0.6745","4207.0830"
"Nepal","0.6632","0.7167","0.1417","28608.7100"
"Iran","0.6684","0.7462","0.1152","82913.9060"
"Ghana","0.6733","0.6731","0.7987","30417.8560"
"Malawi","0.6744","0.6023","0.8192","18628.7470"
"Kyrgyzstan","0.6752","0.5949","0.4470","6415.8500"
"Monaco","0.6838","0.7305","0.3047","38.9640"
"Mali","0.6906","0.8388","0.1820","19658.0310"
"Mozambique","0.6932","0.8125","0.6759","30366.0360"
"Senegal","0.6939","0.7081","0.1497","16296.3640"
"Micronesia","0.7005","0.7483","0.6469","113.8150"
"Belize","0.7015","0.6303","0.5813","390.3530"
"Pakistan","0.7098","0.7190","0.3848","216565.3180"
"Togo","0.7099","0.8980","0.6596","8082.3660"
"Canada","0.7124","0.5772","0.6958","37411.0470"
"Andorra","0.7139","0.6848","0.2326","77.1420"
"Sudan","0.7147","0.7190","0.4307","42813.2380"
"Ethiopia","0.7235","0.8073","0.6249","112078.7300"
"Suriname","0.7332","0.3310","0.7910","581.3720"
"Indonesia","0.7351","0.7680","0.2340","270625.5680"
"Tanzania","0.7353","0.8983","0.6334","58005.4630"
"Burkina Faso","0.7377","0.7228","0.5798","20321.3780"
"Guinea","0.7389","0.7725","0.2649","12771.2460"
"Bolivia","0.7396","0.2240","0.2085","11513.1000"
"Qatar","0.7456","0.4800","0.0950","2832.0670"
"South Africa","0.7517","0.8652","0.8603","58558.2700"
"Gabon","0.7690","0.7821","0.6674","2172.5790"
"Afghanistan","0.7693","0.6141","0.2717","38041.7540"
"Zambia","0.7808","0.8734","0.7359","17861.0300"
"Gambia","0.7864","0.8076","0.0970","2347.7060"
"Angola","0.7867","0.7870","0.6276","31825.2950"
"Benin","0.7872","0.7905","0.5544","11801.1510"
"Libya","0.7920","0.0758","0.0570","6777.4520"
"Djibouti","0.7962","0.6558","0.0435","973.5600"
"Guinea-Bissau","0.8082","0.8141","0.6128","1920.9220"
"Somalia","0.8117","0.0326","0.0028","15442.9050"
"Sierra Leone","0.8191","0.7634","0.5395","7813.2150"
"Ivory Coast","0.8204","0.7842","0.7551","25716.5440"
"Central African Republic","0.8295","0.8334","0.7916","4745.1850"
"Nigeria","0.8505","0.8316","0.7421","200963.5990"
"Kenya","0.8588","0.8860","0.7765","52573.9730"
"Chad","0.8620","0.8635","0.6411","15946.8760"
"Cameroon","0.8635","0.8898","0.7338","25876.3800"
"Republic of the Congo","0.8747","0.6871","0.6642","5380.5080"
"DR Congo","0.8747","0.8705","0.7021","86790.5670"
"Madagascar","0.8791","0.0204","0.5191","26969.3070"
"Liberia","0.9084","0.9038","0.4883","4937.3740"
"Uganda","0.9302","0.9227","0.6332","44269.5940"
